epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1395,1.12811,4.69226,1.31586,0.01795,0.10108,0.07251,0.05835,0.914,4.23109,1.06081,7.689e-05,7.689e-05,7.689e-05
2,92.3999,1.06885,4.33973,1.22631,0.86364,0.08387,0.13513,0.114,0.8234,3.76386,1.07854,0.000153537,0.000153537,0.000153537
3,137.489,1.09015,4.00368,1.23422,0.88645,0.16142,0.2669,0.23285,0.86158,3.34522,1.06406,0.000229158,0.000229158,0.000229158
4,182.078,1.1341,3.55856,1.27903,0.84902,0.21505,0.41996,0.36696,0.95601,2.80875,1.1854,0.000228387,0.000228387,0.000228387
5,226.285,1.14999,3.1339,1.3029,0.66591,0.42797,0.50415,0.38109,1.00959,2.30507,1.23318,0.000226849,0.000226849,0.000226849
6,270.171,1.17759,2.86075,1.32503,0.75071,0.42306,0.52063,0.42836,0.96631,2.14185,1.23179,0.000225311,0.000225311,0.000225311
7,314.205,1.16678,2.61623,1.32618,0.64779,0.60345,0.68644,0.53382,0.93532,1.91346,1.1945,0.000223773,0.000223773,0.000223773
8,358.456,1.13318,2.39545,1.30256,0.56103,0.63857,0.64852,0.51847,0.9511,2.08029,1.18522,0.000222235,0.000222235,0.000222235
9,402.616,1.13445,2.29653,1.31123,0.58801,0.63201,0.7372,0.58616,0.92087,1.71652,1.19911,0.000220698,0.000220698,0.000220698
10,446.799,1.09475,2.12074,1.28627,0.68656,0.6311,0.70186,0.56941,0.89208,1.6249,1.16852,0.00021916,0.00021916,0.00021916
11,490.87,1.07317,2.04469,1.2745,0.60783,0.80892,0.83205,0.69424,0.86937,1.47587,1.12313,0.000217622,0.000217622,0.000217622
12,534.735,1.07272,1.96013,1.27985,0.74137,0.75051,0.83246,0.67825,0.8631,1.60826,1.12962,0.000216084,0.000216084,0.000216084
13,578.572,1.0468,1.87681,1.26329,0.75555,0.68186,0.83783,0.66811,0.86214,1.34016,1.13019,0.000214546,0.000214546,0.000214546
14,622.339,1.03017,1.82998,1.25491,0.6835,0.79232,0.82437,0.66589,0.85896,1.45677,1.15504,0.000213009,0.000213009,0.000213009
15,666.383,1.0337,1.77324,1.24133,0.68111,0.76787,0.89502,0.69106,0.89793,1.31887,1.16092,0.000211471,0.000211471,0.000211471
